date,feature_index,NO2
2023-05-03T00:00:00.000Z,0,2.9991852443345124E-5
2023-05-04T00:00:00.000Z,0,3.0343219623318874E-5
2023-05-06T00:00:00.000Z,0,9.31882944617731E-6
2023-05-07T00:00:00.000Z,0,
2023-05-05T00:00:00.000Z,0,
2023-05-09T00:00:00.000Z,0,2.0115558072575368E-5
2023-05-10T00:00:00.000Z,0,2.857447034330107E-5
2023-07-25T00:00:00.000Z,0,4.183619603281841E-5
2023-07-23T00:00:00.000Z,0,2.8393867069098633E-5
2023-07-24T00:00:00.000Z,0,2.8584065148606896E-5
2023-07-29T00:00:00.000Z,0,2.5892260055115912E-5
2023-07-28T00:00:00.000Z,0,3.782828359059446E-5
2023-07-22T00:00:00.000Z,0,4.429520595294889E-5
2023-07-26T00:00:00.000Z,0,3.041453965124674E-5
2023-07-27T00:00:00.000Z,0,2.6611387208201148E-5
2021-01-25T00:00:00.000Z,0,1.1935494512727018E-5
2021-01-27T00:00:00.000Z,0,
2021-01-26T00:00:00.000Z,0,
2021-01-21T00:00:00.000Z,0,2.0876922280876898E-5
2021-01-22T00:00:00.000Z,0,
2021-01-23T00:00:00.000Z,0,
2021-01-24T00:00:00.000Z,0,
2021-01-28T00:00:00.000Z,0,
2021-07-06T00:00:00.000Z,0,4.1299116370889046E-5
2021-06-30T00:00:00.000Z,0,3.877996505252668E-5
2021-07-03T00:00:00.000Z,0,
2021-07-07T00:00:00.000Z,0,2.399063911677028E-5
2021-07-04T00:00:00.000Z,0,2.95199139751882E-5
2021-07-02T00:00:00.000Z,0,
2021-07-05T00:00:00.000Z,0,2.980445015055011E-5
2021-07-01T00:00:00.000Z,0,1.6932814711860072E-5
2021-11-09T00:00:00.000Z,0,
2021-11-08T00:00:00.000Z,0,
2021-11-11T00:00:00.000Z,0,
2021-11-10T00:00:00.000Z,0,
2021-11-05T00:00:00.000Z,0,
2021-11-12T00:00:00.000Z,0,
2021-11-07T00:00:00.000Z,0,5.865032653673552E-5
2021-11-06T00:00:00.000Z,0,
2022-10-12T00:00:00.000Z,0,2.2769025235902518E-5
2022-10-09T00:00:00.000Z,0,2.7640464395517483E-5
2022-10-13T00:00:00.000Z,0,2.6275792879459914E-5
2022-10-10T00:00:00.000Z,0,
2022-10-07T00:00:00.000Z,0,1.395825283149558E-5
2022-10-08T00:00:00.000Z,0,2.7901760404347442E-5
2022-10-11T00:00:00.000Z,0,
2022-10-14T00:00:00.000Z,0,2.5351297153974883E-5
2022-12-27T00:00:00.000Z,0,
2023-01-01T00:00:00.000Z,0,
2022-12-28T00:00:00.000Z,0,
2022-12-29T00:00:00.000Z,0,
2022-12-30T00:00:00.000Z,0,
2022-12-31T00:00:00.000Z,0,
2022-12-26T00:00:00.000Z,0,
2023-01-02T00:00:00.000Z,0,
2023-05-11T00:00:00.000Z,0,
2023-05-14T00:00:00.000Z,0,8.216747119149659E-6
2023-05-17T00:00:00.000Z,0,2.7568779235783342E-5
2023-05-13T00:00:00.000Z,0,1.1224122317798901E-5
2023-05-12T00:00:00.000Z,0,2.8848129659309052E-5
2023-05-18T00:00:00.000Z,0,1.1566281652145941E-5
2023-05-15T00:00:00.000Z,0,3.347619349369779E-5
2023-05-16T00:00:00.000Z,0,2.0477316562998265E-5
2023-11-02T00:00:00.000Z,0,4.559044282359537E-5
2023-11-01T00:00:00.000Z,0,3.573346854561047E-5
2023-10-28T00:00:00.000Z,0,5.948476549140954E-5
2023-10-26T00:00:00.000Z,0,4.377458299131831E-5
2023-10-31T00:00:00.000Z,0,4.2362682506791316E-5
2023-10-27T00:00:00.000Z,0,5.3429437078496754E-5
2023-10-29T00:00:00.000Z,0,3.429951684665866E-5
2023-10-30T00:00:00.000Z,0,5.533752300834749E-5
2021-03-30T00:00:00.000Z,0,
2021-04-01T00:00:00.000Z,0,4.273125159670599E-5
2021-03-27T00:00:00.000Z,0,
2021-03-31T00:00:00.000Z,0,2.246678313895245E-5
2021-03-28T00:00:00.000Z,0,1.9168489113023195E-5
2021-03-29T00:00:00.000Z,0,
2021-03-26T00:00:00.000Z,0,2.3404438252327964E-5
2021-04-02T00:00:00.000Z,0,3.1414506884175354E-5
2023-02-23T00:00:00.000Z,0,
2023-02-27T00:00:00.000Z,0,
2023-02-24T00:00:00.000Z,0,
2023-02-20T00:00:00.000Z,0,
2023-02-25T00:00:00.000Z,0,
2023-02-21T00:00:00.000Z,0,
2023-02-22T00:00:00.000Z,0,4.3334977817721665E-5
2023-02-26T00:00:00.000Z,0,
2021-02-01T00:00:00.000Z,0,
2021-01-29T00:00:00.000Z,0,
2021-02-03T00:00:00.000Z,0,
2021-02-05T00:00:00.000Z,0,
2021-01-30T00:00:00.000Z,0,
2021-01-31T00:00:00.000Z,0,
2021-02-04T00:00:00.000Z,0,
2021-02-02T00:00:00.000Z,0,
2021-04-24T00:00:00.000Z,0,2.5687302695587277E-5
2021-04-19T00:00:00.000Z,0,2.2442787061057363E-5
2021-04-26T00:00:00.000Z,0,2.8767556007854484E-5
2021-04-23T00:00:00.000Z,0,2.5233592774990637E-5
2021-04-25T00:00:00.000Z,0,2.7855294320033863E-5
2021-04-21T00:00:00.000Z,0,1.80903148248035E-5
2021-04-22T00:00:00.000Z,0,2.1761828975286335E-5
2021-04-20T00:00:00.000Z,0,2.5182089151106386E-5
2023-11-22T00:00:00.000Z,0,4.683438419306185E-5
2023-11-25T00:00:00.000Z,0,
2023-11-24T00:00:00.000Z,0,3.986519732279703E-5
2023-11-19T00:00:00.000Z,0,
2023-11-21T00:00:00.000Z,0,4.212299366675628E-5
2023-11-23T00:00:00.000Z,0,
2023-11-20T00:00:00.000Z,0,3.7025733035989106E-5
2023-11-26T00:00:00.000Z,0,2.7196359951631166E-5
2021-06-17T00:00:00.000Z,0,
2021-06-21T00:00:00.000Z,0,
2021-06-18T00:00:00.000Z,0,3.518624149971098E-5
2021-06-19T00:00:00.000Z,0,2.5253054445784073E-5
2021-06-14T00:00:00.000Z,0,
2021-06-20T00:00:00.000Z,0,
2021-06-15T00:00:00.000Z,0,
2021-06-16T00:00:00.000Z,0,1.2791018207281013E-5
2021-10-05T00:00:00.000Z,0,
2021-10-10T00:00:00.000Z,0,2.794846083512918E-5
2021-10-11T00:00:00.000Z,0,2.77618970964492E-5
2021-10-06T00:00:00.000Z,0,
2021-10-09T00:00:00.000Z,0,1.78708320769753E-5
2021-10-04T00:00:00.000Z,0,
2021-10-07T00:00:00.000Z,0,
2021-10-08T00:00:00.000Z,0,1.3151993380233762E-5
2022-02-21T00:00:00.000Z,0,
2022-02-20T00:00:00.000Z,0,
2022-02-18T00:00:00.000Z,0,
2022-02-19T00:00:00.000Z,0,
2022-02-23T00:00:00.000Z,0,
2022-02-24T00:00:00.000Z,0,3.500661417395653E-5
2022-02-17T00:00:00.000Z,0,
2022-02-22T00:00:00.000Z,0,3.936935657596526E-5
2022-08-25T00:00:00.000Z,0,3.238776177264905E-5
2022-08-27T00:00:00.000Z,0,3.8656290901902444E-5
2022-08-23T00:00:00.000Z,0,
2022-08-22T00:00:00.000Z,0,2.706296375739233E-5
2022-08-26T00:00:00.000Z,0,1.519553188700229E-5
2022-08-20T00:00:00.000Z,0,3.3297535386130526E-5
2022-08-24T00:00:00.000Z,0,3.486775464504414E-5
2022-08-21T00:00:00.000Z,0,1.6571553715039045E-5
2023-04-11T00:00:00.000Z,0,
2023-04-12T00:00:00.000Z,0,2.03440854420478E-5
2023-04-09T00:00:00.000Z,0,-1.654914922255557E-5
2023-04-10T00:00:00.000Z,0,
2023-04-16T00:00:00.000Z,0,2.4398486857535318E-5
2023-04-13T00:00:00.000Z,0,
2023-04-15T00:00:00.000Z,0,
2023-04-14T00:00:00.000Z,0,2.5619521693442948E-5
2021-02-13T00:00:00.000Z,0,
2021-02-11T00:00:00.000Z,0,
2021-02-08T00:00:00.000Z,0,
2021-02-06T00:00:00.000Z,0,
2021-02-12T00:00:00.000Z,0,
2021-02-07T00:00:00.000Z,0,1.3036403591589382E-5
2021-02-09T00:00:00.000Z,0,
2021-02-10T00:00:00.000Z,0,
2023-09-22T00:00:00.000Z,0,3.523266150295967E-5
2023-09-23T00:00:00.000Z,0,3.767056538587591E-5
2023-09-18T00:00:00.000Z,0,2.506298915250227E-5
2023-09-17T00:00:00.000Z,0,3.8125921946630115E-5
2023-09-21T00:00:00.000Z,0,2.3409639349362504E-5
2023-09-20T00:00:00.000Z,0,2.2539775576054428E-5
2023-09-19T00:00:00.000Z,0,
2023-09-16T00:00:00.000Z,0,3.492037285468541E-5
2023-02-13T00:00:00.000Z,0,2.678250136038211E-5
2023-02-19T00:00:00.000Z,0,
2023-02-12T00:00:00.000Z,0,
2023-02-15T00:00:00.000Z,0,
2023-02-18T00:00:00.000Z,0,
2023-02-17T00:00:00.000Z,0,2.1864596419618465E-5
2023-02-14T00:00:00.000Z,0,3.1311442398873623E-5
2023-02-16T00:00:00.000Z,0,
2021-09-19T00:00:00.000Z,0,4.661502316594124E-5
2021-09-18T00:00:00.000Z,0,3.158577237627469E-5
2021-09-24T00:00:00.000Z,0,
2021-09-20T00:00:00.000Z,0,2.4584692255302798E-5
2021-09-23T00:00:00.000Z,0,1.459398481529206E-5
2021-09-22T00:00:00.000Z,0,
2021-09-25T00:00:00.000Z,0,
2021-09-21T00:00:00.000Z,0,
2021-12-23T00:00:00.000Z,0,1.071305321431737E-5
2021-12-24T00:00:00.000Z,0,2.284639558638446E-5
2021-12-29T00:00:00.000Z,0,2.039935588982189E-5
2021-12-30T00:00:00.000Z,0,
2021-12-26T00:00:00.000Z,0,
2021-12-25T00:00:00.000Z,0,
2021-12-28T00:00:00.000Z,0,2.3176597702937823E-5
2021-12-27T00:00:00.000Z,0,1.054937532292873E-5
2022-05-21T00:00:00.000Z,0,
2022-05-22T00:00:00.000Z,0,2.0805415260838345E-5
2022-05-20T00:00:00.000Z,0,
2022-05-23T00:00:00.000Z,0,2.6805373939472094E-5
2022-05-19T00:00:00.000Z,0,
2022-05-17T00:00:00.000Z,0,1.836097908380907E-5
2022-05-18T00:00:00.000Z,0,2.0968243006791454E-5
2022-05-16T00:00:00.000Z,0,3.046032831358995E-5
2022-02-27T00:00:00.000Z,0,
2022-02-26T00:00:00.000Z,0,
2022-02-28T00:00:00.000Z,0,
2022-02-25T00:00:00.000Z,0,
2022-03-03T00:00:00.000Z,0,
2022-03-02T00:00:00.000Z,0,3.075790755246999E-5
2022-03-01T00:00:00.000Z,0,
2022-03-04T00:00:00.000Z,0,2.029575595467274E-5
2022-07-24T00:00:00.000Z,0,2.362756519384372E-5
2022-07-22T00:00:00.000Z,0,
2022-07-26T00:00:00.000Z,0,3.392883051371124E-5
2022-07-21T00:00:00.000Z,0,3.924669787617555E-5
2022-07-23T00:00:00.000Z,0,
2022-07-25T00:00:00.000Z,0,3.720783115568338E-5
2022-07-19T00:00:00.000Z,0,3.612316989650329E-5
2022-07-20T00:00:00.000Z,0,3.2832135123802196E-5
2022-11-14T00:00:00.000Z,0,
2022-11-12T00:00:00.000Z,0,
2022-11-08T00:00:00.000Z,0,8.935869118431583E-6
2022-11-13T00:00:00.000Z,0,
2022-11-11T00:00:00.000Z,0,
2022-11-09T00:00:00.000Z,0,9.819530532695353E-6
2022-11-10T00:00:00.000Z,0,2.7277776098344475E-5
2022-11-15T00:00:00.000Z,0,
2021-09-27T00:00:00.000Z,0,2.7748681532102637E-5
2021-10-01T00:00:00.000Z,0,1.8593853383208625E-5
2021-09-28T00:00:00.000Z,0,2.0759496692335233E-5
2021-09-29T00:00:00.000Z,0,3.260155517637031E-5
2021-10-02T00:00:00.000Z,0,1.1057515621359926E-5
2021-10-03T00:00:00.000Z,0,
2021-09-26T00:00:00.000Z,0,3.025732257810887E-5
2021-09-30T00:00:00.000Z,0,2.6518723643675912E-5
2022-02-16T00:00:00.000Z,0,8.875210733094719E-6
2022-02-14T00:00:00.000Z,0,
2022-02-12T00:00:00.000Z,0,
2022-02-13T00:00:00.000Z,0,
2022-02-10T00:00:00.000Z,0,
2022-02-11T00:00:00.000Z,0,
2022-02-09T00:00:00.000Z,0,4.2200156713079195E-5
2022-02-15T00:00:00.000Z,0,3.4093445719918236E-5
2022-09-20T00:00:00.000Z,0,2.4804737677186495E-5
2022-09-13T00:00:00.000Z,0,3.491675579425646E-5
2022-09-15T00:00:00.000Z,0,3.3850996866628215E-5
2022-09-14T00:00:00.000Z,0,3.048672139508805E-5
